time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448250000	20.2901	13.081	4.86477	1.68269	0.584241	radar	2.18223	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2589	13.2835	4.78514	1.70959	0.582112	lidar	0.966086	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2224	13.5184	4.79809	1.72643	0.536848	radar	1.35656	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2021	13.7796	4.84101	1.74503	0.525039	lidar	1.43809	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1472	14.0045	4.80868	1.78458	0.565154	radar	0.769645	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0899	14.2636	4.86201	1.81438	0.566819	lidar	0.363198	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0182	14.4931	4.8612	1.84297	0.557511	radar	1.3316	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9046	14.7552	4.94957	1.89015	0.582741	lidar	0.962616	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8411	14.971	4.91341	1.89539	0.511205	radar	3.37391	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.822	15.1784	4.81946	1.89543	0.478765	lidar	2.31291	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6885	15.3825	4.75673	2.00341	0.736169	radar	7.24356	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.669	15.5535	4.60107	2.00747	0.693939	lidar	3.56184	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5854	15.7507	4.57278	2.02314	0.638975	radar	1.45078	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4752	15.9698	4.60937	2.05636	0.639973	lidar	0.0986991	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3806	16.1746	4.6094	2.05572	0.535708	radar	1.96588	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2722	16.352	4.55993	2.08511	0.540181	lidar	0.422935	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.159	16.5433	4.54655	2.11545	0.552432	radar	0.232448	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0202	16.766	4.62337	2.14565	0.554628	lidar	0.360472	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8613	16.957	4.6465	2.22774	0.726334	radar	6.11175	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6682	17.2103	4.83511	2.2691	0.729554	lidar	2.12445	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.576	17.4138	4.77472	2.21543	0.465801	radar	6.23807	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3532	17.6197	4.90081	2.26248	0.492349	lidar	3.80628	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2135	17.8141	4.89221	2.25456	0.390616	radar	1.46425	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0916	17.9994	4.8427	2.26308	0.377812	lidar	0.888449	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9152	18.1471	4.79967	2.32577	0.506109	radar	2.818	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7973	18.2805	4.66639	2.34418	0.498463	lidar	0.990716	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
